LSOA_CODE,PCN_NAME,PCN_Patients,PCN_Total,Proportion_PCN,LSOA_Population,Proportion_LSOA,CumulativePatients,CumulativePercent,SUB_ICB_LOCATION_NAME
E01014335,Shelton & Hanley PCN,66,41818,0.0015782677315988331,1718,0.03841676367869616,38605,92.3167057248075,Stoke-on-Trent
E01014266,Shelton & Hanley PCN,61,41818,0.0014587019943564973,1411,0.04323175053153792,38666,92.46257592424315,Stoke-on-Trent
E01014246,Shelton & Hanley PCN,54,41818,0.001291309962217227,1791,0.03015075376884422,38720,92.59170692046487,Stoke-on-Trent
E01029776,Shelton & Hanley PCN,53,41818,0.00126739681476876,1839,0.028820010875475803,38773,92.71844660194175,Stoke-on-Trent
E01014273,Shelton & Hanley PCN,51,41818,0.0012195705198718256,1597,0.031934877896055106,38824,92.84040365392893,Stoke-on-Trent
E01014331,Shelton & Hanley PCN,51,41818,0.0012195705198718256,1730,0.029479768786127167,38875,92.96236070591611,Stoke-on-Trent
E01014245,Shelton & Hanley PCN,50,41818,0.0011956573724233584,1858,0.02691065662002153,38925,93.08192644315845,Stoke-on-Trent
E01034059,Shelton & Hanley PCN,50,41818,0.0011956573724233584,2297,0.021767522855899,38975,93.20149218040078,Stoke-on-Trent
E01014332,Shelton & Hanley PCN,49,41818,0.001171744224974891,1688,0.029028436018957347,39024,93.31866660289828,Stoke-on-Trent
E01029818,Shelton & Hanley PCN,48,41818,0.001147831077526424,1469,0.03267528931245745,39072,93.43344971065092,Stoke-on-Trent
E01029777,Shelton & Hanley PCN,46,41818,0.0011000047826294898,1571,0.02928071292170592,39118,93.54345018891387,Stoke-on-Trent
E01014248,Shelton & Hanley PCN,45,41818,0.0010760916351810225,1563,0.028790786948176585,39163,93.65105935243196,Stoke-on-Trent
E01014337,Shelton & Hanley PCN,44,41818,0.0010521784877325553,1852,0.023758099352051837,39207,93.75627720120522,Stoke-on-Trent
E01014234,Shelton & Hanley PCN,43,41818,0.0010282653402840882,1794,0.023968784838350056,39250,93.85910373523363,Stoke-on-Trent
E01014247,Shelton & Hanley PCN,43,41818,0.0010282653402840882,1947,0.022085259373394967,39293,93.96193026926204,Stoke-on-Trent
E01029775,Shelton & Hanley PCN,43,41818,0.0010282653402840882,1493,0.028801071667782986,39336,94.06475680329045,Stoke-on-Trent
E01029779,Shelton & Hanley PCN,43,41818,0.0010282653402840882,1646,0.02612393681652491,39379,94.16758333731886,Stoke-on-Trent
E01034053,Shelton & Hanley PCN,43,41818,0.0010282653402840882,2288,0.018793706293706292,39422,94.27040987134727,Stoke-on-Trent
E01014278,Shelton & Hanley PCN,41,41818,9.80439045387154e-4,1365,0.030036630036630037,39463,94.36845377588598,Stoke-on-Trent
E01014347,Shelton & Hanley PCN,40,41818,9.565258979386867e-4,1696,0.02358490566037736,39503,94.46410636567985,Stoke-on-Trent
E01029608,Shelton & Hanley PCN,40,41818,9.565258979386867e-4,1619,0.02470660901791229,39543,94.55975895547371,Stoke-on-Trent
E01014239,Shelton & Hanley PCN,39,41818,9.326127504902195e-4,1553,0.025112685125563427,39582,94.65302023052274,Stoke-on-Trent
E01029780,Shelton & Hanley PCN,37,41818,8.847864555932851e-4,1758,0.02104664391353811,39619,94.74149887608208,Stoke-on-Trent
E01014336,Shelton & Hanley PCN,35,41818,8.369601606963508e-4,1847,0.018949648077964266,39654,94.82519489215171,Stoke-on-Trent
E01014280,Shelton & Hanley PCN,34,41818,8.130470132478837e-4,1220,0.027868852459016394,39688,94.9064995934765,Stoke-on-Trent
E01014240,Shelton & Hanley PCN,33,41818,7.891338657994166e-4,1706,0.019343493552168817,39721,94.98541298005644,Stoke-on-Trent
E01014299,Shelton & Hanley PCN,33,41818,7.891338657994166e-4,1326,0.024886877828054297,39754,95.06432636663638,Stoke-on-Trent
E01014356,Shelton & Hanley PCN,32,41818,7.652207183509493e-4,2262,0.014146772767462422,39786,95.14084843847147,Stoke-on-Trent
E01029762,Shelton & Hanley PCN,31,41818,7.413075709024822e-4,1649,0.01879927228623408,39817,95.21497919556172,Stoke-on-Trent
E01014302,Shelton & Hanley PCN,30,41818,7.17394423454015e-4,2038,0.014720314033366046,39847,95.28671863790711,Stoke-on-Trent
E01014244,Shelton & Hanley PCN,29,41818,6.934812760055479e-4,1839,0.015769439912996192,39876,95.35606676550768,Stoke-on-Trent
E01014252,Shelton & Hanley PCN,29,41818,6.934812760055479e-4,1812,0.016004415011037526,39905,95.42541489310823,Stoke-on-Trent
E01014298,Shelton & Hanley PCN,29,41818,6.934812760055479e-4,1716,0.0168997668997669,39934,95.49476302070879,Stoke-on-Trent
E01014354,Shelton & Hanley PCN,29,41818,6.934812760055479e-4,2242,0.012934879571810883,39963,95.56411114830934,Stoke-on-Trent
E01014262,Shelton & Hanley PCN,28,41818,6.695681285570807e-4,1484,0.018867924528301886,39991,95.63106796116504,Stoke-on-Trent
E01014307,Shelton & Hanley PCN,28,41818,6.695681285570807e-4,2042,0.013712047012732615,40019,95.69802477402075,Stoke-on-Trent
E01029603,Shelton & Hanley PCN,28,41818,6.695681285570807e-4,1487,0.01882985877605918,40047,95.76498158687646,Stoke-on-Trent
E01014334,Shelton & Hanley PCN,27,41818,6.456549811086135e-4,1288,0.02096273291925466,40074,95.82954708498733,Stoke-on-Trent
E01014348,Shelton & Hanley PCN,27,41818,6.456549811086135e-4,1508,0.01790450928381963,40101,95.89411258309819,Stoke-on-Trent
E01014300,Shelton & Hanley PCN,26,41818,6.217418336601463e-4,1528,0.017015706806282723,40127,95.9562867664642,Stoke-on-Trent
E01014367,Shelton & Hanley PCN,26,41818,6.217418336601463e-4,2556,0.010172143974960876,40153,96.01846094983021,Stoke-on-Trent
E01029579,Shelton & Hanley PCN,26,41818,6.217418336601463e-4,1653,0.01572897761645493,40179,96.08063513319624,Stoke-on-Trent
E01033257,Shelton & Hanley PCN,26,41818,6.217418336601463e-4,2554,0.010180109631949883,40205,96.14280931656225,Stoke-on-Trent
E01034052,Shelton & Hanley PCN,26,41818,6.217418336601463e-4,1361,0.019103600293901544,40231,96.20498349992826,Stoke-on-Trent
E01014359,Shelton & Hanley PCN,25,41818,5.978286862116792e-4,2196,0.011384335154826957,40256,96.26476636854943,Stoke-on-Trent
E01014250,Shelton & Hanley PCN,24,41818,5.73915538763212e-4,1633,0.014696876913655848,40280,96.32215792242576,Stoke-on-Trent
E01014310,Shelton & Hanley PCN,24,41818,5.73915538763212e-4,2216,0.010830324909747292,40304,96.37954947630207,Stoke-on-Trent
E01029580,Shelton & Hanley PCN,24,41818,5.73915538763212e-4,1378,0.01741654571843251,40328,96.43694103017839,Stoke-on-Trent
E01029607,Shelton & Hanley PCN,24,41818,5.73915538763212e-4,1522,0.01576872536136662,40352,96.4943325840547,Stoke-on-Trent
E01034058,Shelton & Hanley PCN,24,41818,5.73915538763212e-4,1796,0.013363028953229399,40376,96.55172413793103,Stoke-on-Trent
E01014237,Shelton & Hanley PCN,23,41818,5.500023913147449e-4,1806,0.01273532668881506,40399,96.60672437706252,Stoke-on-Trent
E01014241,Shelton & Hanley PCN,23,41818,5.500023913147449e-4,1730,0.013294797687861272,40422,96.66172461619398,Stoke-on-Trent
E01014303,Shelton & Hanley PCN,23,41818,5.500023913147449e-4,1394,0.016499282639885222,40445,96.71672485532545,Stoke-on-Trent
E01014308,Shelton & Hanley PCN,22,41818,5.260892438662776e-4,1522,0.01445466491458607,40467,96.76933377971208,Stoke-on-Trent
E01014360,Shelton & Hanley PCN,22,41818,5.260892438662776e-4,2949,0.007460155985079688,40489,96.82194270409872,Stoke-on-Trent
E01014235,Shelton & Hanley PCN,21,41818,5.021760964178105e-4,1736,0.012096774193548387,40510,96.8721603137405,Stoke-on-Trent
E01014242,Shelton & Hanley PCN,21,41818,5.021760964178105e-4,1617,0.012987012987012988,40531,96.92237792338227,Stoke-on-Trent
E01014243,Shelton & Hanley PCN,21,41818,5.021760964178105e-4,1485,0.014141414141414142,40552,96.97259553302405,Stoke-on-Trent
E01014346,Shelton & Hanley PCN,21,41818,5.021760964178105e-4,1738,0.012082853855005753,40573,97.02281314266584,Stoke-on-Trent
E01014369,Shelton & Hanley PCN,21,41818,5.021760964178105e-4,1913,0.01097752221641401,40594,97.07303075230762,Stoke-on-Trent
E01014333,Shelton & Hanley PCN,20,41818,4.7826294896934334e-4,1412,0.014164305949008499,40614,97.12085704720455,Stoke-on-Trent
E01014362,Shelton & Hanley PCN,20,41818,4.7826294896934334e-4,1273,0.015710919088766692,40634,97.16868334210149,Stoke-on-Trent
E01029794,Shelton & Hanley PCN,20,41818,4.7826294896934334e-4,1555,0.012861736334405145,40654,97.21650963699842,Stoke-on-Trent
E01014233,Shelton & Hanley PCN,19,41818,4.543498015208762e-4,1490,0.012751677852348993,40673,97.2619446171505,Stoke-on-Trent
E01014311,Shelton & Hanley PCN,19,41818,4.543498015208762e-4,1454,0.013067400275103164,40692,97.3073795973026,Stoke-on-Trent
E01029599,Shelton & Hanley PCN,19,41818,4.543498015208762e-4,1525,0.012459016393442624,40711,97.35281457745468,Stoke-on-Trent
E01014257,Shelton & Hanley PCN,18,41818,4.30436654072409e-4,1960,0.009183673469387756,40729,97.39585824286192,Stoke-on-Trent
E01014297,Shelton & Hanley PCN,18,41818,4.30436654072409e-4,1194,0.01507537688442211,40747,97.43890190826917,Stoke-on-Trent
E01014238,Shelton & Hanley PCN,17,41818,4.0652350662394185e-4,1643,0.010346926354230066,40764,97.47955425893156,Stoke-on-Trent
